OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
2115,021-0044,2556-000,Bocce,Montréal-Nord,Loisirs et détente
2116,003-0201,2651-000,Aire de jeu 18 mois à 5 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
2117,002-0009,0018-000,Aire de glissade,Ahuntsic-Cartierville,Loisirs et détente
2118,010-0002,0018-000,Aire de planche à roulette,Ahuntsic-Cartierville,Récréatif
2119,003-0366,0349-000,Aire de jeu 18 mois à 5 ans,Le Sud-Ouest,Aire de jeu - enfant
2120,003-0274,0149-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
2121,076-0130,0492-000,Soccer à 7,Mercier-Hochelaga-Maisonneuve,Sportif
2122,003-0198,1028-000,Aire de jeu 18 mois à 5 ans,Ville-Marie,Aire de jeu - enfant
2123,018-0052,0296-000,Basketball,Villeray-Saint-Michel-Parc-Extension,Récréatif
2124,071-0005,9543-000,Sentier pédestre,Saint-Laurent,Plein air
2125,018-0139,2854-000,Basketball,Saint-Léonard,Récréatif
2126,004-0020,2814-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
2127,049-0017,2898-000,Pastille - Basketball,Verdun,Récréatif
2128,095-0045,2687-000,Pétanque,Pierrefonds-Roxboro,Loisirs et détente
2129,053-0065,2459-000,Patinoire sans bandes,LaSalle,Récréatif
2130,016-0055,0126-000,Balle,Rosemont-La Petite-Patrie,Sportif
2131,074-0007-76-S2,0424-000,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
2132,075-0052,0157-000,Soccer à 4-5,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
2133,071-0058,0121-000,Sentier pédestre,Mercier-Hochelaga-Maisonneuve,Plein air
2134,053-0025,0219-000,Patinoire sans bandes,Rosemont-La Petite-Patrie,Récréatif
2135,081-0080,1083-000,Tennis,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
2136,003-0271,0160-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
2137,081-0034,0252-000,Tennis,Ville-Marie,Sportif
2138,003-0099,2391-000,Aire de jeu 18 mois à 5 ans,Lachine,Aire de jeu - enfant
2139,042-0033,0206-000,Jeux d'eau,Rosemont-La Petite-Patrie,Récréatif
2140,064-0005,2690-000,Rampe de mise à l'eau / descente de bateaux,Pierrefonds-Roxboro,Plein air
2141,032-0004,0414-000,Fer / Galet,Ahuntsic-Cartierville,Loisirs et détente
2142,016-0126,0678-000,Balle,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
2143,004-0355,0713-000,Aire de jeu  5 à 12 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
2144,052-0047,0126-000,Patinoire avec bandes,Rosemont-La Petite-Patrie,Récréatif
2145,003-0038,0237-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
2146,004-0066,0024-000,Aire de jeu  5 à 12 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
2147,003-0406,0708-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
2148,071-0030,7000-000,Sentier pédestre,Rosemont-La Petite-Patrie,Plein air
2149,008-0004,2403-000,Aire de pêche autorisée,Lachine,Plein air
2150,004-0275,2920-000,Aire de jeu  5 à 12 ans,Verdun,Aire de jeu - enfant
2151,055-0055,0970-000,Piscine extérieure,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
2152,089-0002, ,Volleyball de plage,Saint-Laurent,Récréatif
2153,052-0007,2816-000,Patinoire avec bandes,Saint-Laurent,Récréatif
2154,081-0099,2856-000,Tennis,Saint-Léonard,Sportif
2155,036-0008, ,Golf,Anjou,Sportif
2156,076-0018-75-S1,0012-000,Soccer sous-terrain à 4-5,Ahuntsic-Cartierville,Sportif
2157,018-0124, ,Basketball,Montréal-Nord,Récréatif
2158,058-0001,2812-000,Piste d'athlétisme (400m) et équipements,Saint-Laurent,Sportif
2159,055-0002,2818-000,Piscine extérieure,Saint-Laurent,Récréatif
2160,004-0031,2826-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
2161,004-0430,1266-000,Aire de jeu  5 à 12 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
2162,070-0002,0029-000,Sentier de ski de fond,Ahuntsic-Cartierville,Plein air
2163,049-0001,2814-000,Pastille - Basketball,Saint-Laurent,Récréatif
2164,053-0042,2609-000,Patinoire sans bandes,Outremont,Récréatif
2165,021-0057,2855-000,Bocce,Saint-Léonard,Loisirs et détente
2166,004-0335,0961-000,Aire de jeu  5 à 12 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
2167,045-0005,2856-000,Multisport,Saint-Léonard,Sportif
2168,076-0133,0101-000,Soccer à 7,Mercier-Hochelaga-Maisonneuve,Sportif
2169,050-0026,0291-000,Pataugeoire,Rosemont-La Petite-Patrie,Récréatif
2170,053-0087,0115-000,Patinoire sans bandes,Mercier-Hochelaga-Maisonneuve,Récréatif
2171,004-0156,2623-000,Aire de jeu  5 à 12 ans,Outremont,Aire de jeu - enfant
2172,008-0005,2399-000,Aire de pêche autorisée,Lachine,Plein air
2173,075-0039,,Soccer à 4-5,Pierrefonds-Roxboro,Sportif
2174,003-0091,0006-000,Aire de jeu 18 mois à 5 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
2175,004-0087,2391-000,Aire de jeu  5 à 12 ans,Lachine,Aire de jeu - enfant
2176,016-0041,2398-000,Balle,Lachine,Sportif
2177,004-0181,2656-000,Aire de jeu  5 à 12 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
2178,050-0073,2559-000,Pataugeoire,Montréal-Nord,Récréatif
2179,089-0006,0224-000,Volleyball de plage,Le Plateau-Mont-Royal,Récréatif
2180,005-0032, ,Aire de jeu combiné,Anjou,Aire de jeu - enfant
